txn_id,error_code,recovery_class,amount,attempt,action,delay_h,reason,succeeded,_true_cause
39,payment_declined,HARD_DECLINE,3542.85,1,NUDGE,0.5,NUDGE at +0.5h | p=0.138 pen=0.00 EV=486.9 seq=1022.0 (best of 18 candidates),True,AUTH_FAIL
48,invalid_vpa,METHOD_BROKEN,1612.56,1,SWITCH_METHOD,6.0,SWITCH_METHOD at +6h | p=0.531 pen=0.00 EV=853.3 seq=1235.7 (best of 18 candidates),True,INSTRUMENT_STATE
50,payment_cancelled,ABANDONED,1688.49,1,NUDGE,0.5,NUDGE at +0.5h | p=0.209 pen=0.00 EV=351.5 seq=714.6 (best of 18 candidates),False,CUSTOMER_ABANDON
50,payment_cancelled,ABANDONED,1688.49,2,NUDGE,2.0,NUDGE at +2h | p=0.272 pen=0.00 EV=458.8 seq=761.5 (best of 15 candidates),False,CUSTOMER_ABANDON
50,payment_cancelled,ABANDONED,1688.49,3,NUDGE,12.0,NUDGE at +12h | p=0.247 pen=0.00 EV=415.9 seq=699.6 (best of 13 candidates),False,CUSTOMER_ABANDON
50,payment_cancelled,ABANDONED,1688.49,4,NUDGE,24.0,NUDGE at +24h | p=0.224 pen=0.00 EV=376.7 seq=376.7 (best of 9 candidates),True,CUSTOMER_ABANDON
68,incorrect_cvv,AUTH_FAILED,3711.64,1,NUDGE,0.5,NUDGE at +0.5h | p=0.142 pen=0.00 EV=525.1 seq=1172.7 (best of 18 candidates),True,AUTH_FAIL
94,debit_instrument_inactive,METHOD_BROKEN,1403.13,1,SWITCH_METHOD,0.5,SWITCH_METHOD at +0.5h | p=0.381 pen=0.00 EV=532.5 seq=683.3 (best of 18 candidates),True,INSTRUMENT_STATE
125,gateway_technical_error,SOFT_TRANSIENT,3586.02,1,RETRY,2.0,RETRY at +2h | p=0.784 pen=0.00 EV=2809.0 seq=3418.4 (best of 18 candidates),True,GATEWAY_ISSUE
152,bank_technical_error,SOFT_TRANSIENT,683.17,1,RETRY,48.0,RETRY at +48h | p=0.857 pen=0.00 EV=583.0 seq=664.9 (best of 18 candidates),True,ISSUER_DOWN
153,card_declined,HARD_DECLINE,578.76,1,RETRY,120.0,RETRY at +120h | p=0.799 pen=0.01 EV=456.7 seq=503.1 (best of 18 candidates),True,NO_FUNDS
161,payment_declined,HARD_DECLINE,92.43,1,NUDGE,0.5,NUDGE at +0.5h | p=0.250 pen=0.00 EV=22.2 seq=43.7 (best of 18 candidates),True,AUTH_FAIL
