txn_id,error_code,recovery_class,amount,attempt,action,delay_h,reason,succeeded,_true_cause
39,payment_declined,HARD_DECLINE,3542.85,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,AUTH_FAIL
39,payment_declined,HARD_DECLINE,3542.85,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,AUTH_FAIL
39,payment_declined,HARD_DECLINE,3542.85,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,AUTH_FAIL
48,invalid_vpa,METHOD_BROKEN,1612.56,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
48,invalid_vpa,METHOD_BROKEN,1612.56,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
48,invalid_vpa,METHOD_BROKEN,1612.56,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
50,payment_cancelled,ABANDONED,1688.49,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,CUSTOMER_ABANDON
50,payment_cancelled,ABANDONED,1688.49,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,CUSTOMER_ABANDON
50,payment_cancelled,ABANDONED,1688.49,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,CUSTOMER_ABANDON
68,incorrect_cvv,AUTH_FAILED,3711.64,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,AUTH_FAIL
94,debit_instrument_inactive,METHOD_BROKEN,1403.13,1,RETRY,1.0,fixed schedule attempt 1 at +1h,False,INSTRUMENT_STATE
94,debit_instrument_inactive,METHOD_BROKEN,1403.13,2,RETRY,24.0,fixed schedule attempt 2 at +24h,False,INSTRUMENT_STATE
94,debit_instrument_inactive,METHOD_BROKEN,1403.13,3,RETRY,72.0,fixed schedule attempt 3 at +72h,False,INSTRUMENT_STATE
125,gateway_technical_error,SOFT_TRANSIENT,3586.02,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,GATEWAY_ISSUE
152,bank_technical_error,SOFT_TRANSIENT,683.17,1,RETRY,1.0,fixed schedule attempt 1 at +1h,True,ISSUER_DOWN
